author,year,Isotropy,regularity_x,regularity_y,Le_rel,p_periodic,dimension,type,mtype,hassdf
hardenberg,2010,isotropic,1.069265,0.4110453,7.974,0.189401745796204,2,model,homogeneous,1
hardenberg,2010,isotropic,0.4747892,NaN,5.316,0.436400294303894,2,model,homogeneous,1
hardenberg,2010,isotropic,0.478086,NaN,3.544,0.856887519359589,2,model,homogeneous,1
liu,2013,isotropic,0.2628359,1.311643,6.02898157441278,0.005,2,nature,,1
liu,2013,isotropic,1.390082,1.172817,7.96398260863068,0.238212943077087,2,model,homogeneous,1
liu,2013,anisotropic,0.2846584,1.334544,5.85969974107272,0.919130146503448,2,nature,,1
liu,2013,isotropic,1.076359,0.4611402,5.30757663183506,0.0853433012962341,2,model,homogeneous,1
liu,2013,isotropic,1.314261,0.4697351,7.07703901579993,0.387833774089813,2,model,homogeneous,1
liu,2013,isotropic,1.384795,0.312881,6.19311863656579,0.749313771724701,2,model,homogeneous,1
siteur,2022,isotropic,4.081139,0.5378076,15.0615005543144,0.0935826897621155,2,model,homogeneous,1
siteur,2022,isotropic,4.649768,0.5595458,15.0615005543144,0.0744845867156982,2,model,homogeneous,1
siteur,2022,isotropic,4.787751,0.7539514,15.0608767157893,0.104093074798584,2,model,homogeneous,1
siteur,2022,isotropic,1.79136,0.6167888,21.2624303169161,0.402154743671417,2,model,homogeneous,0
siteur,2022,isotropic,1.339272,0.4714882,13.289563796851,0.600622475147247,2,model,homogeneous,0
siteur,2022,isotropic,1.393914,0.4287073,11.5171497549962,0.779521405696869,2,model,homogeneous,0
rietkerk,2004,anisotropic,0.3175566,0.4100127,11.4957462758648,0.484461188316345,2,nature,,1
rietkerk,2004,anisotropic,0.1965966,0.4226008,7.43435770749337,0.344003677368164,2,nature,,1
rietkerk,2004,anisotropic,0.07213007,0.7957582,1.76117471066061,0.109983384609222,2,nature,,1
rietkerk,2004,isotropic,1.654752,0.5515622,3.54399588335353,0.0205562114715576,2,model,homogeneous,1
rietkerk,2004,anisotropic,1.585714,0.5866859,2.65674203974748,0.000650346279144287,2,model,homogeneous,1
couteron,2002,anisotropic,0.594633,0.7926424,12.0906252383663,0.0182546973228455,2,nature,,1
couteron,2002,anisotropic,0.07224887,0.6546264,1.77135152431295,0.997344613075256,2,nature,,1
couteron,2002,anisotropic,0.2030369,0.51315,5.30450296338653,0.74096691608429,2,nature,,1
couteron,2002,isotropic,0.84939,0.4270309,7.088,0.580806732177734,2,nature,,1
couteron,2002,anisotropic,0.7444668,0.4527323,12.0670393642653,0.590314209461212,2,nature,,1
couteron,2002,anisotropic,0.4763081,0.4026493,2.64014408037445,0.107565581798553,2,nature,,1
couteron,2002,anisotropic,0.7045438,0.5883937,3.52266250926172,0.912166833877563,2,nature,,1
couteron,2002,anisotropic,0.5228965,0.4494392,3.52725488870045,0.546299815177917,2,nature,,1
kondo,2010,isotropic,2.35004,0.6040953,9.74596492737352,0.0190073251724243,2,model,homogeneous,1
kondo,2010,isotropic,1.981862,0.4341039,7.97397110933726,0.686926662921906,2,model,homogeneous,1
kondo,2010,isotropic,2.561061,0.5412148,8.85996745953263,0.108339071273804,2,model,homogeneous,1
kondo,2010,isotropic,1.447595,0.5220304,5.31598034176265,0.273221254348755,2,model,homogeneous,1
kondo,2010,isotropic,0.8543562,0.4656269,3.54394829465666,0.287152647972107,2,model,homogeneous,1
zelnik,2013,anisotropic,1.166236,1.163557,1.62753525609445,0.005,1,model,homogeneous,1
zelnik,2013,anisotropic,1.60748,0.4355769,2.22404017889397,0.005,1,model,homogeneous,1
zelnik,2013,isotropic,4.801573,0.4914633,9.74590191441663,0.005,2,model,homogeneous,1
zelnik,2013,isotropic,4.903502,0.4545537,9.74590191441663,0.005,2,model,homogeneous,1
zelnik,2013,isotropic,5.862964,0.3731467,7.9737922556642,0.005,2,model,homogeneous,1
puigdefabregas,2005,anisotropic,0.5209802,0.391741,16.731196049418,0.867998361587524,2,nature,,1
puigdefabregas,2005,anisotropic,0.6817968,0.6959999,9.23766166841158,0.846989870071411,2,nature,,1
puigdefabregas,2005,anisotropic,0.7734266,0.4344296,9.14093479829559,0.072911262512207,2,nature,,1
koppel,2005,anisotropic,0.3541989,15.34893,11.0690571860087,0.88109302520752,2,nature,,1
koppel,2005,anisotropic,0.6867908,4.141181,4.05078595000458,0.00313520431518555,2,nature,,1
koppel,2005,anisotropic,0.9098717,1.895296,3.29167590619838,0.249724447727203,2,nature,,1
koppel,2005,anisotropic,0.3981983,3.429039,3.24956948835381,0.0785004496574402,2,nature,,1
koppel,2005,anisotropic,1.715919,6.851779,2.63519033973494,0.000529885292053223,2,model,homogeneous,1
rietkerk,2002,isotropic,0.1441868,0.4292672,0.885887756022043,0.983010768890381,2,nature,,1
rietkerk,2002,isotropic,0.9529575,0.4202153,14.176,0.253372251987457,2,nature,,1
rietkerk,2002,isotropic,1.902888,0.427893,7.97391301045752,0.199346482753754,2,model,homogeneous,1
rietkerk,2002,isotropic,2.091212,0.8059329,8.85939269082015,0.231283068656921,2,model,homogeneous,1
rietkerk,2002,isotropic,1.537453,0.5263115,7.97397850441226,0.0972192883491516,2,model,homogeneous,1
rietkerk,2002,anisotropic,1.409482,0.3473121,3.51358244088824,0.0190932154655457,2,model,homogeneous,1
rietkerk,2004,isotropic,1.492433,0.3826765,8.04930579800053,0.663587093353271,2,model,homogeneous,1
rietkerk,2004,isotropic,1.478941,0.4349672,13.7399430629876,0.674501836299896,2,model,homogeneous,1
rietkerk,2004,isotropic,1.607403,0.5998198,10.770828517169,0.772978782653809,2,model,homogeneous,1
rietkerk,2004,isotropic,1.275546,0.4050244,16.095366405868,0.817913711071014,2,model,homogeneous,1
rietkerk,2004,isotropic,1.155788,0.3553382,7.05605259504277,0.514492392539978,2,nature,,1
rietkerk,2004,isotropic,1.894476,0.517271,7.97350124778323,0.146562218666077,2,model,homogeneous,1
rietkerk,2004,isotropic,1.619273,0.6443391,7.97350124778323,0.496337354183197,2,model,homogeneous,1
rietkerk,2004,isotropic,2.203879,0.5730223,8.85944583087026,0.378805458545685,2,model,homogeneous,1
barbier,2006,isotropic,0.8303375,0.849865,11.206649305553,0.750722765922546,2,nature,,1
barbier,2006,isotropic,0.3249048,0.5403513,7.974,0.507557153701782,2,nature,,1
barbier,2006,isotropic,0.4149885,1.119778,6.202,0.61685574054718,2,nature,,1
barbier,2006,isotropic,0.2941255,0.3803283,0.885995383755399,0.0988562703132629,2,nature,,1
barbier,2006,anisotropic,0.4645413,0.6333195,4.89237643204019,0.609017014503479,2,nature,,1
dakos,2011,isotropic,3.118729,1.219023,7.088,0.180958390235901,2,model,homogeneous,1
dakos,2011,isotropic,3.380998,0.4368184,7.974,0.0325585007667542,2,model,homogeneous,1
